Temp, Hum
74.5,42.9
74.7,43.0
74.5,42.9
70.9,46.0
70.7,46.0
71.1,46.1
70.7,46.0
70.5,45.9
70.7,46.0
70.7,45.9
70.7,46.0
70.5,45.3
70.7,46.0
70.7,45.9
70.7,46.1
70.7,46.0
70.7,46.0
70.7,46.0
70.7,46.0
70.7,46.0
70.7,46.0
70.7,46.0
70.7,46.0
70.7,46.0
70.5,45.9
70.7,46.0
70.7,46.0
70.7,46.0
70.7,46.0
70.7,46.0
70.7,46.0
70.7,46.0
70.7,46.0
70.7,46.0
70.7,46.0
70.7,46.0
70.7,46.0
70.7,46.0
70.9,46.0
70.7,46.0
70.7,46.0
70.7,46.0
70.7,46.0
70.7,46.0
70.7,46.0
70.7,46.0
70.7,46.0
70.7,46.0
70.7,46.0
70.7,46.0
70.7,46.0
70.5,45.3
70.7,46.0
70.5,45.9
70.5,45.3
70.7,46.0
70.7,46.0
70.7,46.0
70.7,45.4
70.5,45.9
70.7,46.0
70.7,46.0
70.7,46.0
70.7,46.0
71.2,46.1
70.5,45.3
70.7,46.0
70.7,46.0
